brand,avg_price,median_price,product_count,price_std,avg_rating,total_reviews,price_segment,value_score,value_segment,strategy_category
Generic,63.17,31.48,4,75.98,4.58,2150.5,Premium,155.91720753522242,Low Value,Premium Quality
HP,61.64,34.89,4,60.1,4.7,108015.0,Mid-Range,8236.056132381571,High Value,Value Leaders
JJC,11.86,11.74,4,2.17,4.5,2143.0,Budget,813.1112984822935,Medium Value,Value Leaders
K&F Concept,31.4,26.53,3,23.24,4.57,1659.0,Mid-Range,241.4531847133758,Low Value,Value Leaders
NEEWER,64.99,67.99,4,52.19,4.57,5290.0,Premium,371.9849207570396,Medium Value,Premium Quality
Yecaye,9.32,8.99,3,0.58,4.53,48312.0,Budget,23482.12017167382,High Value,Value Leaders
