brand,avg_price,median_price,price_std,product_count,avg_rating,total_reviews
ZEZEFUFU,12.75,12.75,2.49,2,5.0,715.5
SGEOYPIL,11.99,11.99,,1,4.0,4.0
olcorife,11.99,11.99,2.83,2,4.7,8263.0
GOBOBIOK,11.99,11.99,,1,4.5,162.0
EZ-GLAZ,11.98,11.98,,1,4.5,9299.0
JJC,11.86,11.74,2.17,4,4.5,2143.0
Amazon Basics,11.66,11.66,,1,4.7,41673.0
Tisino,11.39,11.39,,1,4.6,5277.0
SPYPOINT,11.04,11.04,,1,4.6,891.0
Immuson,10.79,10.79,,1,4.8,2411.0
YISHU,10.49,10.49,0.71,2,4.65,44417.0
CITYWAY,10.49,10.49,,1,4.6,205.0
FlyLong,10.29,10.29,,1,4.8,65.0
Sunmns,9.99,9.99,,1,4.7,487.0
suptek,9.99,9.99,,1,4.5,1184.0
Suoman,9.99,9.99,,1,4.2,232.0
echinff,9.99,9.99,,1,4.7,166.0
TANTTI,9.99,9.99,,1,4.6,1257.0
YUWAKAYI,9.99,9.99,,1,4.3,25679.0
XIAWAO,9.99,9.99,,1,4.5,6737.0
WANBY,9.99,9.99,,1,4.4,686.0
Uvital,9.99,9.99,,1,4.3,7462.0
Liphisy,9.99,9.99,,1,4.5,2800.0
Nuozme,9.99,9.99,,1,4.3,117.0
JUDKIOM,9.99,9.99,,1,4.3,1966.0
SVBONY,9.99,9.99,,1,4.5,141.0
Elonbo,9.99,9.99,,1,4.8,376.0
Citelect,9.99,9.99,,1,4.4,12047.0
Haoge,9.99,9.99,,1,4.5,112.0
LOLStar,9.99,9.99,0.0,2,4.5,4022.0
Alestor,9.99,9.99,,1,4.8,46887.0
Delamu,9.99,9.99,,1,4.6,3724.0
BLEBLE,9.99,9.99,,1,4.4,1423.0
LENRUE,9.99,9.99,,1,4.4,403.0
Lamicall,9.99,9.99,,1,4.5,13147.0
One Beat,9.99,9.99,,1,4.5,1387.0
OMOTON,9.99,9.99,,1,4.8,5581.0
Amazon Renewed,9.97,9.97,,1,4.4,13.0
Panasonic,9.95,9.95,,1,4.6,6809.0
Lanrxs,9.9,9.9,,1,4.4,11.0
NATEFEMIN,9.88,9.88,,1,5.0,713.5
QBLPOWER,9.75,9.75,,1,4.6,641.0
Elite Batteries,9.47,9.47,,1,4.9,19.0
Yecaye,9.32,8.99,0.58,3,4.53,48312.0
Keabroir,8.99,8.99,,1,5.0,3.0
Sinjimoru,8.99,8.99,,1,4.1,8504.0
WOCORUO,8.99,8.99,,1,4.6,1731.0
XINGO,8.99,8.99,,1,4.7,2889.0
Geyoga,8.99,8.99,,1,4.4,583.0
